text,type,weight
/dev/urandom,file,1
/etc/host.conf,file,1
/etc/hosts,file,1
/etc/init.d/boot.local,file,2
/etc/ld.so.cache,file,2
/etc/ld.so.nohwcap,file,1
/etc/nsswitch.conf,file,1
/etc/rc.d/rc.local,file,2
/etc/rc.local,file,2
/etc/resolv.conf,file,1
/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2,file,2
/lib/x86_64-linux-gnu/libc.so.6,file,2
/lib/x86_64-linux-gnu/libnss_dns.so.2,file,2
/lib/x86_64-linux-gnu/libnss_files.so.2,file,2
/lib/x86_64-linux-gnu/libnss_mdns4_minimal.so.2,file,2
/lib/x86_64-linux-gnu/libnss_myhostname.so.2,file,2
/lib/x86_64-linux-gnu/libpthread.so.0,file,2
/lib/x86_64-linux-gnu/libresolv.so.2,file,2
/lib/x86_64-linux-gnu/librt.so.1,file,2
/prober,file,1
/proc/net/dev,file,1
/proc/self/exe,file,1
/proc/stat,file,1
/sys/devices/system/cpu/online,file,1
2,file,1
nul,file,1
stdin,file,2
0.0.0.0:1020,net,2
127.0.0.53:53,net,2
218.60.25.91:10210,net,2
NIC,net,1
uname,other,1
