text,type,weight
/boot,file,1
/boot/ahbwfjisnz,file,2
/boot/asdektvqcx,file,2
/boot/ayfpykrywy,file,2
/boot/boapdeqctl,file,2
/boot/chpyczowon,file,2
/boot/cmvmnczczu,file,2
/boot/dkrmghmiqh,file,2
/boot/eqaaatbvxw,file,2
/boot/eusanjhlhu,file,2
/boot/fbcywesiuo,file,2
/boot/fkdhjeyqsw,file,2
/boot/fuoyeobsyg,file,2
/boot/gcrvcprqdm,file,2
/boot/gyixoppcxc,file,2
/boot/hpdryeswcd,file,2
/boot/hvteqoqfbp,file,2
/boot/ieykdawmhh,file,2
/boot/ixszedvjtk,file,2
/boot/jeauimgkbi,file,2
/boot/jkkjdxhtgm,file,2
/boot/jqqvltaoqd,file,2
/boot/kcvibtpyej,file,2
/boot/kdfpcfzgpy,file,2
/boot/lllsjnktid,file,2
/boot/mjflwnvzwi,file,2
/boot/mzuexdtrpm,file,2
/boot/nbpaqiirlv,file,2
/boot/nnrgkdghsp,file,2
/boot/nybdzxaftz,file,2
/boot/ogiivutkey,file,2
/boot/oknjtszdbo,file,2
/boot/onwvuqndhx,file,2
/boot/phlhnkerzg,file,2
/boot/qqvqoqiocc,file,2
/boot/qrqoizbhue,file,2
/boot/qsjdjsieap,file,2
/boot/ruejiazprt,file,2
/boot/siisliodwu,file,2
/boot/skvdpxgsjw,file,2
/boot/sovqzkbbyi,file,2
/boot/sozzexmdjw,file,2
/boot/syxgxuoueq,file,2
/boot/tgrmmfsbya,file,2
/boot/tjybanjatc,file,2
/boot/ttxgeaissg,file,2
/boot/txqtezgxoh,file,2
/boot/ubapuoajjf,file,2
/boot/veldzftfjj,file,2
/boot/vpxkkotzhf,file,2
/boot/vrcairoslg,file,2
/boot/wepcmalkhk,file,2
/boot/wgajizmkhr,file,2
/boot/wvdpfneqnz,file,2
/boot/xyuevhoiit,file,2
/boot/xzuecjyyqj,file,2
/boot/ybrskaknhp,file,2
/boot/ycsogeekwa,file,2
/boot/yvcrwkjdcf,file,2
/boot/zvrzhcwbcc,file,2
/boot/zxavspahkm,file,2
/boot/zyqotuczde,file,2
/etc/cron.hourly/cron.sh,file,2
/etc/crontab,file,2
/etc/init.d/wgajizmkhr,file,2
/etc/rc.d/rc1.d/S90wgajizmkhr,file,2
/etc/rc.d/rc2.d/S90wgajizmkhr,file,2
/etc/rc.d/rc3.d/S90wgajizmkhr,file,2
/etc/rc.d/rc4.d/S90wgajizmkhr,file,2
/etc/rc.d/rc5.d/S90wgajizmkhr,file,2
/etc/rc1.d/S90wgajizmkhr,file,2
/etc/rc2.d/S90wgajizmkhr,file,2
/etc/rc3.d/S90wgajizmkhr,file,2
/etc/rc4.d/S90wgajizmkhr,file,2
/etc/rc5.d/S90wgajizmkhr,file,2
/lib,file,1
/lib/udev,file,1
/lib/udev/udev,file,2
/proc/1514/exe,file,1
/proc/rs_dev,file,2
/proc/self/exe,file,1
/proc/stat,file,1
/var,file,1
/var/run,file,1
/var/run/sftp.pid,file,1
0.0.0.0:80,net,2
0.0.0.0:8005,net,2
103.240.141.50:8005,net,2
103.25.9.228:53,net,2
103.25.9.245:8005,net,2
66.102.253.30:8005,net,2
8.8.8.8:53,net,2
uname,other,1
