text,type,weight
/boot,file,1
/boot/atlnkyuvsu,file,2
/boot/bobgraiqxy,file,2
/boot/bpudzvlece,file,2
/boot/bqnfmwrytm,file,2
/boot/bzlwqqnotv,file,2
/boot/dowlorerjs,file,2
/boot/dsczxhuhlz,file,2
/boot/dvrptqnfex,file,2
/boot/egtmdbfmng,file,2
/boot/etqamwpbfg,file,2
/boot/fejwryxnpd,file,2
/boot/fxmzwcnrjc,file,2
/boot/fxycnbizng,file,2
/boot/fywgqvshjh,file,2
/boot/gtkntuaqql,file,2
/boot/hkvspgvzqs,file,2
/boot/hpsparwxgy,file,2
/boot/idpforxbdr,file,2
/boot/ihtpatufgr,file,2
/boot/isynsxloob,file,2
/boot/iyqabitzxq,file,2
/boot/jdbwrxzivp,file,2
/boot/kmlugrcabk,file,2
/boot/lhwrhkhwic,file,2
/boot/likiknpugk,file,2
/boot/lmfcwbopwc,file,2
/boot/lqewwiyppi,file,2
/boot/lsqdsjddkj,file,2
/boot/maakvjyznj,file,2
/boot/mjtjjmpumz,file,2
/boot/mrmcvgitnw,file,2
/boot/mwofcvseqq,file,2
/boot/neoanracyl,file,2
/boot/nljllzffjn,file,2
/boot/npddphazuz,file,2
/boot/odoszevzek,file,2
/boot/ozzdevyebi,file,2
/boot/pbztplmkut,file,2
/boot/prudpvvvto,file,2
/boot/qijaccscvx,file,2
/boot/qrnzjvtoam,file,2
/boot/qziiylmppm,file,2
/boot/sgsaigxgtl,file,2
/boot/swlogvoixg,file,2
/boot/swmmmdlhzy,file,2
/boot/tejkqgcgyh,file,2
/boot/tomcxqafhv,file,2
/boot/tuycypcvcl,file,2
/boot/uortbdzjqm,file,2
/boot/updawhqgmx,file,2
/boot/utfhygfotk,file,2
/boot/vaftraczxq,file,2
/boot/xejlbpnocz,file,2
/boot/xjmoobvkib,file,2
/boot/xowhhcgure,file,2
/boot/xprnohsjnw,file,2
/boot/xqpytpqwyn,file,2
/boot/xvkwfwmups,file,2
/boot/yidpajidvr,file,2
/boot/zsvziwjmao,file,2
/boot/zxippdyecv,file,2
/etc/cron.hourly/cron.sh,file,2
/etc/crontab,file,2
/etc/init.d/xowhhcgure,file,2
/etc/rc.d/rc1.d/S90xowhhcgure,file,2
/etc/rc.d/rc2.d/S90xowhhcgure,file,2
/etc/rc.d/rc3.d/S90xowhhcgure,file,2
/etc/rc.d/rc4.d/S90xowhhcgure,file,2
/etc/rc.d/rc5.d/S90xowhhcgure,file,2
/etc/rc1.d/S90xowhhcgure,file,2
/etc/rc2.d/S90xowhhcgure,file,2
/etc/rc3.d/S90xowhhcgure,file,2
/etc/rc4.d/S90xowhhcgure,file,2
/etc/rc5.d/S90xowhhcgure,file,2
/lib,file,1
/lib/udev,file,1
/lib/udev/udev,file,2
/proc/1524/exe,file,1
/proc/rs_dev,file,2
/proc/self/exe,file,1
/proc/stat,file,1
/var,file,1
/var/run,file,1
/var/run/sftp.pid,file,1
0.0.0.0:80,net,2
0.0.0.0:8005,net,2
103.240.141.50:8005,net,2
103.25.9.228:53,net,2
103.25.9.245:8005,net,2
66.102.253.30:8005,net,2
8.8.8.8:53,net,2
uname,other,1
