text,type,weight
/boot,file,1
/boot/aehlzrkvty,file,2
/boot/aksbuzrmxw,file,2
/boot/bgzeqsosds,file,2
/boot/bqvkjevmmr,file,2
/boot/bziczcnxrq,file,2
/boot/cpbsgxklgz,file,2
/boot/dafwlybuhe,file,2
/boot/dcdjxeccoi,file,2
/boot/drlngcyvcc,file,2
/boot/drwvikxmko,file,2
/boot/dvxmlldmdh,file,2
/boot/eqhixamdco,file,2
/boot/fdlejdluzz,file,2
/boot/fiawnoeulu,file,2
/boot/gevagbdxub,file,2
/boot/gfnvffufju,file,2
/boot/gqxgchruow,file,2
/boot/gzpomushbb,file,2
/boot/hancvaipjk,file,2
/boot/hbjgqvhzoj,file,2
/boot/hkensorzss,file,2
/boot/hsizbmbfre,file,2
/boot/iribiihmcm,file,2
/boot/ixqpzcolju,file,2
/boot/jgdhznbzsk,file,2
/boot/jpyasaezyo,file,2
/boot/jrnfmladqr,file,2
/boot/kdthlprzbf,file,2
/boot/lbxhdcieey,file,2
/boot/lvydavzpyv,file,2
/boot/mkrkfbifhd,file,2
/boot/ncqyyxkdkb,file,2
/boot/nmddzjczbv,file,2
/boot/ntpvqulzko,file,2
/boot/nudafdanlo,file,2
/boot/nvblnpesbc,file,2
/boot/ovenhifaoc,file,2
/boot/prdjugoabb,file,2
/boot/ptcdgjttzl,file,2
/boot/qkagnrmsli,file,2
/boot/qwccnxrxvu,file,2
/boot/rhxkarnusp,file,2
/boot/rlgjbzsxcx,file,2
/boot/rmvtlemttv,file,2
/boot/rnmkxedycq,file,2
/boot/snmqesegld,file,2
/boot/srsaslvuib,file,2
/boot/svmewlkpir,file,2
/boot/sysfhizobk,file,2
/boot/szzbyffnsf,file,2
/boot/tbcnmxcjsq,file,2
/boot/tcoescyiqc,file,2
/boot/tikalezxzd,file,2
/boot/tmilaeeusc,file,2
/boot/uqbxzrvltb,file,2
/boot/vqsbdkzmqp,file,2
/boot/wlqzmvtxih,file,2
/boot/wtwmbzhaof,file,2
/boot/yinrwuvzyn,file,2
/boot/ykbckpdlcq,file,2
/boot/zjlkmhhbsx,file,2
/etc/cron.hourly/cron.sh,file,2
/etc/crontab,file,2
/etc/init.d/kdthlprzbf,file,2
/etc/rc.d/rc1.d/S90kdthlprzbf,file,2
/etc/rc.d/rc2.d/S90kdthlprzbf,file,2
/etc/rc.d/rc3.d/S90kdthlprzbf,file,2
/etc/rc.d/rc4.d/S90kdthlprzbf,file,2
/etc/rc.d/rc5.d/S90kdthlprzbf,file,2
/etc/rc1.d/S90kdthlprzbf,file,2
/etc/rc2.d/S90kdthlprzbf,file,2
/etc/rc3.d/S90kdthlprzbf,file,2
/etc/rc4.d/S90kdthlprzbf,file,2
/etc/rc5.d/S90kdthlprzbf,file,2
/lib,file,1
/lib/udev,file,1
/lib/udev/udev,file,2
/proc/1517/exe,file,1
/proc/rs_dev,file,2
/proc/self/exe,file,1
/proc/stat,file,1
/var,file,1
/var/run,file,1
/var/run/sftp.pid,file,1
0.0.0.0:80,net,2
0.0.0.0:8005,net,2
103.240.141.50:8005,net,2
103.25.9.228:53,net,2
103.25.9.245:8005,net,2
66.102.253.30:8005,net,2
8.8.8.8:53,net,2
uname,other,1
