EntityType,ActionType,Source,Syscall,EnVerb,Sentence
NET,NET_CLOSE,man,shutdown(),shut down,
NET,NET_TRANSMIT,man,recvmmsg(),receive,
NET,NET_TRANSMIT,man,sendmmsg(),transmit,
NET,NET_TRANSMIT,man,sendmmsg(),send,
NET,NET_CONNECT,man,pipe2(),create,
NET,NET_CLOSE,man,mq_unlink(),remove,
NET,NET_CONNECT,man,socketpair(),create,
NET,NET_TRANSMIT,man,mq_timedsend(),send,
NET,NET_CONNECT,man,mq_open(),open,
NET,NET_CONNECT,man,mq_open(),create,
NET,NET_CONNECT,man,accept4(),creates,
NET,NET_CONNECT,man,accept4(),accept,
NET,NET_TRANSMIT,man,mq_timedreceive(),receive,
NET,NET_OPTION,man,getpeername(),get,
NET,NET_CONNECT,man,accept(),creates,
NET,NET_CONNECT,man,accept(),accept,
NET,NET_TRANSMIT,man,listen(),listen for,
NET,NET_OPTION,man,mq_getsetattr(),modify,
NET,NET_OPTION,man,mq_getsetattr(),get,
NET,NET_OPTION,man,mq_getsetattr(),retrieve,
NET,NET_OPTION,man,mq_getsetattr(),set,
NET,NET_CONNECT,man,mq_notify(),unregister for,
NET,NET_CONNECT,man,mq_notify(),register for,
DEVICE,INFO_GET,man,oldolduname(),get,
DEVICE,INFO_GET,man,olduname(),get,
DEVICE,INFO_GET,man,madvise(),give,
DEVICE,INFO_GET,man,request_key(),request,
DEVICE,INFO_GET,man,request_key(),find,
DEVICE,INFO_GET,man,request_key(),search for,
DEVICE,INFO_GET,man,sched_get_priority_max(),get,
DEVICE,INFO_GET,man,kexec_load(),load,
ID,ID_SET,man,setuid(),set,
ID,ID_GET,man,geteuid32(),get,
DEVICE,INFO_GET,man,ustat(),get,
DEVICE,INFO_SET,man,keyctl(),manipulate,
ID,ID_SET,man,setreuid32(),set,
TIME,TIME_GET,man,times(),get,
DEVICE,INFO_GET,man,get_kernel_syms(),retrieve,
DEVICE,INFO_SET,man,_sysctl(),write,
DEVICE,INFO_SET,man,_sysctl(),read,
ID,ID_GET,man,getpgid(),get,
ID,ID_GET,man,getegid32(),get,
ID,ID_GET,man,getuid32(),get,
ID,ID_GET,man,getpgrp(),get,
ID,ID_GET,man,getpgrp(),retrieve,
ID,ID_SET,man,setpgid(),set,
ID,ID_GET,man,gettid(),get,
TIME,TIME_SET,man,stime(),set,
ID,ID_SET,man,setregid(),set,
DEVICE,INFO_SET,man,perf_event_open(),set up,
DEVICE,INFO_SET,man,perf_event_open(),create,
ID,ID_SET,man,setgid32(),set,
ID,ID_GET,man,getsid(),get,
DEVICE,INFO_SET,man,shmctl(),share,
DEVICE,INFO_GET,man,getrusage(),get,
DEVICE,INFO_GET,man,semget(),get,
DEVICE,INFO_GET,man,semget(),obtain,
DEVICE,INFO_GET,man,semget(),create,
DEVICE,INFO_GET,man,msgget(),get,
DEVICE,INFO_GET,man,msgget(),obtain,
DEVICE,INFO_GET,man,msgget(),create,
ID,ID_SET,man,setreuid(),set,
DEVICE,INFO_GET,man,sched_get_priority_min(),get,
DEVICE,INFO_GET,man,kexec_file_load(),read,
DEVICE,INFO_GET,man,kexec_file_load(),load,
ID,ID_SET,man,setregid32(),set,
ID,ID_SET,man,setgid(),set,
ID,ID_SET,man,setuid32(),set,
DEVICE,INFO_SET,man,add_key(),update,
DEVICE,INFO_SET,man,add_key(),create,
DEVICE,INFO_SET,man,add_key(),add,
DEVICE,INFO_SET,man,add_key(),attach,
DEVICE,INFO_SET,man,add_key(),instantiate,
ID,ID_GET,man,getgid32(),get,
DEVICE,INFO_GET,man,ipc(),communicate with,
ID,ID_GET,man,getgroups(),get,
ID,ID_SET,man,setfsuid32(),set,
DEVICE,INFO_SET,man,setdomainname(),set,
DEVICE,INFO_SET,man,setdomainname(),change,
ID,ID_SET,man,setresuid32(),set,
ID,ID_GET,man,getresgid32(),get,
ID,ID_SET,man,setgroups(),set,
DEVICE,INFO_GET,man,getcpu(),identify,
DEVICE,INFO_GET,man,getcpu(),determine,
ID,ID_SET,man,setresuid(),set,
ID,ID_SET,man,setfsgid32(),set,
ID,ID_GET,man,getgroups32(),get,
DEVICE,INFO_SET,man,sethostname(),set,
DEVICE,INFO_SET,man,sethostname(),change,
ID,ID_SET,man,setfsuid(),set,
ID,ID_SET,man,setresgid(),set,
DEVICE,INFO_SET,man,setrlimit(),set,
ID,ID_GET,man,getresgid(),get,
DEVICE,INFO_GET,man,getpriority(),get,
ID,ID_SET,man,setfsgid(),set,
DEVICE,INFO_SET,man,setpriority(),set,
ID,ID_SET,man,setgroups32(),set,
ID,ID_GET,man,getresuid(),get,
DEVICE,INFO_GET,man,syslog(),set,
DEVICE,INFO_GET,man,syslog(),clear,
DEVICE,INFO_GET,man,syslog(),read,
ID,ID_SET,man,setresgid32(),set,
ID,ID_GET,man,getresuid32(),get,
DEVICE,DEVICE,man,io_cancel(),cancel,
DEVICE,DEVICE,man,iopl(),change,
DEVICE,DEVICE,man,pciconfig_read(),handle,
DEVICE,DEVICE,man,pciconfig_read(),read,
DEVICE,DEVICE,man,pciconfig_write(),write,
DEVICE,DEVICE,man,pciconfig_write(),handle,
DEVICE,DEVICE,man,pciconfig_iobase(),handle,
DEVICE,DEVICE,man,io_destroy(),destroy,
DEVICE,DEVICE,man,ioperm(),set,
DEVICE,DEVICE,man,io_getevents(),read,
DEVICE,DEVICE,man,io_setup(),create,
DEVICE,DEVICE,man,swapoff(),stop,
DEVICE,DEVICE,man,io_submit(),submit,
DEVICE,DEVICE,man,swapon(),set,
DEVICE,DEVICE,man,swapon(),start,
PROC,PROC_WAIT,man,idle(),lower,
PROC,PROC_WAIT,man,idle(),make,
PROC,PROC_WAIT,man,idle(),mark,
PROC,PROC_WAIT,man,idle(),enter,
PROC,PROC_OTHER,man,move_pages(),move,
PROC,PROC_OTHER,man,timer_gettime(),fetch,
PROC,PROC_OTHER,man,timer_delete(),delete,
PROC,PROC_EXE,man,execveat(),execute,
PROC,PROC_MEM,man,mlockall(),lock,
PROC,PROC_OTHER,man,pkey_alloc(),allocate,
PROC,PROC_EXE,man,personality(),set,
PROC,PROC_EXE,man,unshare(),disassociate,
PROC,PROC_OTHER,man,process_vm_readv(),transfer,
PROC,PROC_MEM,man,mlock(),lock,
PROC,PROC_EXE,man,restart_syscall(),restart,
PROC,PROC_OTHER,man,sched_yield(),yield,
PROC,PROC_OTHER,man,sched_yield(),cause,
PROC,PROC_SET,man,setns(),reassociate,
PROC,PROC_LOAD,man,init_module(),load,
PROC,PROC_MEM,man,mlock2(),lock,
PROC,PROC_MEM,man,mbind(),set,
PROC,PROC_MEM,man,munlockall(),unlock,
PROC,PROC_GET,man,rt_sigreturn(),return,
PROC,PROC_OTHER,man,pkey_free(),free,
PROC,PROC_GET,man,getrandom(),obtain,
PROC,PROC_GET,man,getrandom(),fill,
PROC,PROC_MEM,man,pkey_mprotect(),set,
